date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:04:55	26702/26702	---MCZ	200	added ('OK')	text/css	etag:%220199b785b48ce90714ba3aa4dea272a1-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:04:56	57192/57192	---MCZ	200	added ('OK')	text/css	etag:%22724bcba940ca3a1500f691a6a8b8d8ec-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:04:57	9503/9503	---MCZ	200	added ('OK')	text/css	etag:%22db773b636a1c242623227bece04aa267-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/addon-elements-for-elementor-page-builder/assets/lib/vegas/vegas.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:04:58	1920/1920	---M-Z	200	added ('OK')	text/css	etag:%228222a8dcccb65693f078268408c3b2ea-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/contact-form-7/includes/css/stylesbb49.css?ver=5.2.2	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/contact-form-7/includes/css/stylesbb49bb49.css	(from https://www.capitalreturnsinc.com/)
16:04:59	3807488/3807488	---MCZ	200	added ('OK')	text/css	etag:%227e4d5759c3eccfabe168263110788b27-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/premium-cryptocurrency-widgets/assets/css/style18bb.css?ver=2.13.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/premium-cryptocurrency-widgets/assets/css/style18bb18bb.css	(from https://www.capitalreturnsinc.com/)
16:05:00	58088/58088	---MCZ	200	added ('OK')	text/css	etag:%223f1e8f25d817747fb8b0e2c8c6eed4f7-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/revslider/public/assets/css/rs6f731.css?ver=6.2.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/revslider/public/assets/css/rs6f731f731.css	(from https://www.capitalreturnsinc.com/)
16:05:01	56854/56854	---MCZ	200	added ('OK')	text/css	etag:%22fc6dcfd667d5f55db0078ca7c984f5a5-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.minaec5.css?ver=5.11.2	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.minaec5aec5.css	(from https://www.capitalreturnsinc.com/)
16:05:02	10933/10933	---MCZ	200	added ('OK')	text/css	etag:%227d089835d7ca57c7dfb2054dafb22e24-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css?ver=2.4.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a8d5a.css	(from https://www.capitalreturnsinc.com/)
16:05:02	5235/5235	---MCZ	200	added ('OK')	text/css	etag:%226ae3963d620fa280dc307bd35f4fd259-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css?ver=1.0.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a548a54.css	(from https://www.capitalreturnsinc.com/)
16:05:03	1622/1622	---M-Z	200	added ('OK')	text/css	etag:%2284201694e0e016bb677c7d4061737cbf-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/third/slick.minaff7.css?ver=1.6.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/third/slick.minaff7aff7.css	(from https://www.capitalreturnsinc.com/)
16:05:04	156369/156369	---MCZ	200	added ('OK')	text/css	etag:%22d717ca4f2c6a4273600964f3166f8e69-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/style.min4511.css?ver=1.8.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/style.min45114511.css	(from https://www.capitalreturnsinc.com/)
16:05:06	5868/5868	---MCZ	200	added ('OK')	text/css	etag:%2247083a49949ba02caebf85fc9ef230ff-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woo-mini-cart.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woo-mini-cart.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:05:07	90032/90032	---MCZ	200	added ('OK')	text/css	etag:%229fea46de209a550821c575912ef2ac8f-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woocommerce.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woocommerce.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:05:08	2010/2010	---M-Z	200	added ('OK')	text/css	etag:%222105428de56497f5c873815c5d411a31-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woo-star-font.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woo-star-font.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:05:09	5068/5068	---MCZ	200	added ('OK')	text/css	etag:%22ef4b3960cfd4343ea700eddcba5947ee-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woo-quick-view.min5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/themes/oceanwp/assets/css/woo/woo-quick-view.min56975697.css	(from https://www.capitalreturnsinc.com/)
16:05:09	485/485	---M--	200	added ('OK')	text/css	etag:%222bed1dbf86a552692aaa3519074da9a1-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/mycred/assets/css/mycred-front572f.css?ver=1.8.14.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/mycred/assets/css/mycred-front572f572f.css	(from https://www.capitalreturnsinc.com/)
16:05:11	16233/16233	---MCZ	200	added ('OK')	text/css	etag:%225d2af75219d9565f46a1927c0911f981-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e8.css?ver=5.7.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min87e887e8.css	(from https://www.capitalreturnsinc.com/)
16:05:11	18468/18468	---MCZ	200	added ('OK')	text/css	etag:%225a5cdcc68064cd10a5830dc62214fc1b-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/animations/animations.min7c53.css?ver=2.9.14	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/animations/animations.min7c537c53.css	(from https://www.capitalreturnsinc.com/)
16:05:12	108733/108733	---MCZ	200	added ('OK')	text/css	etag:%228e1ea3ed503ebaa0cc751f16fc10e455-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/css/frontend.min7c53.css?ver=2.9.14	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/css/frontend.min7c537c53.css	(from https://www.capitalreturnsinc.com/)
16:05:14	194305/194305	---MCZ	200	added ('OK')	text/css	etag:%22acc681c9fd1e8735a0350c88e6dc5ba0-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor-pro/assets/css/frontend.mineed8.css?ver=2.7.2	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor-pro/assets/css/frontend.mineed8eed8.css	(from https://www.capitalreturnsinc.com/)
16:05:15	6069/6069	---MCZ	200	added ('OK')	text/css	etag:%22401ba5e68674d48a64b0ebfacadd5577-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor-extras/assets/lib/nicons/css/nicons5bf8.css?ver=2.2.5	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor-extras/assets/lib/nicons/css/nicons5bf85bf8.css	(from https://www.capitalreturnsinc.com/)
16:05:16	207041/207041	---MCZ	200	added ('OK')	text/css	etag:%224c9b38e6dc4aa8ef1b5dbaf375c69dfd-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor-extras/assets/css/frontend.min5bf8.css?ver=2.2.5	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor-extras/assets/css/frontend.min5bf85bf8.css	(from https://www.capitalreturnsinc.com/)
16:05:17	94454/94454	---MCZ	200	added ('OK')	text/css	etag:%2249e51808a76218062aefee842fefc4b7-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/uploads/elementor/css/globald12a.css?ver=1595436087	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/uploads/elementor/css/globald12ad12a.css	(from https://www.capitalreturnsinc.com/)
16:05:18	91254/91254	---MCZ	200	added ('OK')	text/css	etag:%228944d893856bbe714071d87ac787502e-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/uploads/elementor/css/post-83959.css?ver=1602767262	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/uploads/elementor/css/post-839593959.css	(from https://www.capitalreturnsinc.com/)
16:05:19	61/61	---M--	200	added ('OK')	text/css	etag:%22c61aba5d7283833a051de6210635e96a-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/gradient-button-for-elementor/assets/css/frontend19f6.css?ver=1.0.7	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/gradient-button-for-elementor/assets/css/frontend19f619f6.css	(from https://www.capitalreturnsinc.com/)
16:05:20	36982/36982	---MCZ	200	added ('OK')	text/css	etag:%2219a20bd26f18fb24bebc7571bd4d1c47-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/ocean-extra/assets/css/widgets5697.css?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/ocean-extra/assets/css/widgets56975697.css	(from https://www.capitalreturnsinc.com/)
16:05:21	55753/55753	---MCZ	200	added ('OK')	text/css	etag:%2222ba3e44fd1cdaf55119eef2fe21b529-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683.css?ver=5.12.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.minb683b683.css	(from https://www.capitalreturnsinc.com/)
16:05:22	672/672	---M--	200	added ('OK')	text/css	etag:%22687434411ba33713cf8db6dfadb75d63-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683.css?ver=5.12.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.minb683b683.css	(from https://www.capitalreturnsinc.com/)
16:05:22	665/665	---M--	200	added ('OK')	text/css	etag:%22838d2081f98697a1805b756e556abf1c-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683.css?ver=5.12.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.minb683b683.css	(from https://www.capitalreturnsinc.com/)
16:05:24	96873/96873	---MCZ	200	added ('OK')	application/javascript	etag:%22908e37efb9a24f1d8ca6a2cd72a059ec-ssl-df%22	https://www.capitalreturnsinc.com/wp-includes/js/jquery/jquery4a5f.js?ver=1.12.4-wp	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-includes/js/jquery/jquery4a5f4a5f.js	(from https://www.capitalreturnsinc.com/)
16:05:24	15065/15065	---MCZ	200	added ('OK')	application/javascript	etag:%2240e1154ffbebc595328fe0c66226be62-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min5697.js?ver=5.5.3	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/elementor/assets/lib/font-awesome/js/v4-shims.min56975697.js	(from https://www.capitalreturnsinc.com/)
16:05:25	121177/121177	---MCZ	200	added ('OK')	application/javascript	etag:%22454a9e0314f44c8aa15550f7670ed0fb-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/revslider/public/assets/js/rbtools.minf049.js?ver=6.0	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/revslider/public/assets/js/rbtools.minf049f049.js	(from https://www.capitalreturnsinc.com/)
16:05:26	290661/290661	---MCZ	200	added ('OK')	application/javascript	etag:%22780a29b6143d6942aca458657349417f-ssl-df%22	https://www.capitalreturnsinc.com/wp-content/plugins/revslider/public/assets/js/rs6.minf731.js?ver=6.2.1	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/revslider/public/assets/js/rs6.minf731f731.js	(from https://www.capitalreturnsinc.com/)
16:05:27	43309/43309	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%229a51994e92e610822ef09cd2f96aa058-ssl-df%22	https://www.capitalreturnsinc.com/wp-json	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-json.2e.delayed	(from https://www.capitalreturnsinc.com/)
16:05:29	736421/736421	---MCZ	200	added ('OK')	text/html	etag:%229a51994e92e610822ef09cd2f96aa058-ssl-df%22	https://www.capitalreturnsinc.com/wp-json/	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-json/index.html	(from https://www.capitalreturnsinc.com/)
16:05:29	234513/234513	---MCZ	200	added ('OK')	application/json	etag:%225bee42296bff5574068d317abe4d4354-ssl-df%22	https://www.capitalreturnsinc.com/wp-json/wp/v2/pages/8.json	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-json/wp/v2/pages/8.json	(from https://www.capitalreturnsinc.com/)
16:05:30	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1602219465-ssl-df	https://www.capitalreturnsinc.com/xmlrpc0db0.php?rsd	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/xmlrpc0db0.300db0.delayed	(from https://www.capitalreturnsinc.com/)
16:05:31	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%221ed92bdf50a68752eded5ce5d8c292dc-ssl-df%22	https://www.capitalreturnsinc.com/wp-includes/wlwmanifest.xml	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-includes/wlwmanifest.xml	(from https://www.capitalreturnsinc.com/)
16:05:32	34530/34530	---MC-	301	error ('Moved%20Permanently')	text/html	etag:%226fdca8b329bfc0bdf3eb308f07ecc42f-ssl-df%22	https://www.capitalreturnsinc.com/index	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/index.32.delayed	(from https://www.capitalreturnsinc.com/)
16:05:32	0/-1	---M--	301	error ('')			https://www.capitalreturnsinc.com/index	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/index.33.delayed	(from https://www.capitalreturnsinc.com/)
16:05:33	2211/2211	---M-Z	200	added ('OK')	application/json	etag:%2249dcb01a37f83fac2b1cf000cbcdfca9-ssl-df%22	https://www.capitalreturnsinc.com/wp-json/oembed/1.0/embedfa1e.json?url=https%3A%2F%2Fprofitcoin.ltd%2F	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-json/oembed/1.0/embedfa1efa1e.json	(from https://www.capitalreturnsinc.com/)
16:05:34	2305/2305	---M-Z	200	added ('OK')	text/plain	etag:%229c7fd1fcc7dd2ce0a48bb45b596dfb21-ssl-df%22	https://www.capitalreturnsinc.com/wp-json/oembed/1.0/embedd7e3?url=https%3A%2F%2Fprofitcoin.ltd%2F&format=xml	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-json/oembed/1.0/embedd7e3d7e3	(from https://www.capitalreturnsinc.com/)
16:05:34	1330/1330	---M--	200	added ('OK')	image/png	etag:%2253a00a7506eb0b6b6391363edbe5ca50-ssl%22	https://www.capitalreturnsinc.com/wp-content/uploads/2020/09/cropped-profitcoin-icon-1-32x32.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/uploads/2020/09/cropped-profitcoin-icon-1-32x32.png	(from https://www.capitalreturnsinc.com/)
16:05:36	14467/14467	---M--	200	added ('OK')	image/png	etag:%224e3dadb983fc49906f72bfff4f192b64-ssl%22	https://www.capitalreturnsinc.com/wp-content/uploads/2020/09/cropped-profitcoin-icon-1-192x192.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/uploads/2020/09/cropped-profitcoin-icon-1-192x192.png	(from https://www.capitalreturnsinc.com/)
16:05:37	13102/13102	---M--	200	added ('OK')	image/png	etag:%22af6b4742364f3cc59af443a4dec8cfbc-ssl%22	https://www.capitalreturnsinc.com/wp-content/uploads/2020/09/cropped-profitcoin-icon-1-180x180.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/uploads/2020/09/cropped-profitcoin-icon-1-180x180.png	(from https://www.capitalreturnsinc.com/)
16:05:37	19166/19166	---M--	200	added ('OK')	image/png	etag:%229983245adc426deb86d610c4e5f137d6-ssl%22	https://www.capitalreturnsinc.com/wp-content/uploads/2020/09/profitcoin.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/uploads/2020/09/profitcoin.png	(from https://www.capitalreturnsinc.com/)
16:05:39	207/207	---M--	200	added ('OK')	image/png	etag:%2254a23f7209ce90711f7667235e1aeaac-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/gtranslate/switcher.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/gtranslate/switcher.png	(from https://www.capitalreturnsinc.com/)
16:05:40	208/208	---M--	200	added ('OK')	image/png	etag:%2280f319131a8d9f35d4e3411f35842f2f-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/gtranslate/arrow_down.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/gtranslate/arrow_down.png	(from https://www.capitalreturnsinc.com/)
16:05:41	175/175	---M--	200	added ('OK')	image/png	etag:%229d579db21b3f1e6d1574e70282541f59-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/gtranslate/arrow_up.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/gtranslate/arrow_up.png	(from https://www.capitalreturnsinc.com/)
16:05:42	707/707	---M--	200	added ('OK')	image/png	etag:%22cf3659b5d617f39d7d22f23f3d07a268-ssl%22	https://www.capitalreturnsinc.com/wp-content/plugins/gtranslate/flags/16/en.png	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/wp-content/plugins/gtranslate/flags/16/en.png	(from https://www.capitalreturnsinc.com/)
16:05:43	2170/2170	---MCZ	200	added ('OK')	text/html	etag:%223ac956ca0832d300502115e6a641246e-ssl-df%22	https://www.capitalreturnsinc.com/translate.google.com/translate_a/element7876.html?cb=googleTranslateElementInit2	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/translate.google.com/translate_a/element78767876.html	(from https://www.capitalreturnsinc.com/)
16:05:44	250146/250146	---MCZ	200	added ('OK')	text/html	etag:%226fdca8b329bfc0bdf3eb308f07ecc42f-ssl-df%22	https://www.capitalreturnsinc.com/index.html	C:/Users/USER/Documents/.Ex%20life/capitalreturns/www.capitalreturnsinc.com/index-2.html	(from https://www.capitalreturnsinc.com/)
